File Name,True Species
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPad/rgb_1719503413.875185.jpg,Echeneis naucrates
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPad/rgb_1719505041.489867.jpg,Menticirrhus americanus
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPad/rgb_1719505109.92767.jpg,Scorpaena guttata
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPad/rgb_1719513936.875607.jpg,Paralabrax clathratus
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPhone/rgb_1721403820.1409302.jpg,Caulolatilus princeps
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPhone/rgb_1721408950.977337.jpg,Caulolatilus princeps
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPhone/rgb_1721409127.351318.jpg,Chaetodipterus faber
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPhone/rgb_1721410347.436847.jpg,Platichthys stellatus
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPhone/rgb_1721410408.233053.jpg,Caulolatilus princeps
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPhone/rgb_1721410611.289894.jpg,Caulolatilus princeps
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPhone/rgb_1721410840.12251.jpg,Caulolatilus princeps
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPhone/rgb_1721410871.12457.jpg,Abramis brama
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPhone/rgb_1721411059.644392.jpg,Albula vulpes
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPhone/rgb_1721411059.644392.jpg,Sebastes caurinus
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPhone/rgb_1721411253.855706.jpg,Caulolatilus princeps
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPhone/rgb_1721411296.828454.jpg,Caulolatilus princeps
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPad/rgb_1721412016.9978461.jpg,Rhomboplites aurorubens
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPad/rgb_1721412056.1736488.jpg,Rhomboplites aurorubens
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPad/rgb_1721412183.1469579.jpg,Paralabrax nebulifer
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPad/rgb_1721412294.200654.jpg,Caulolatilus princeps
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPad/rgb_1721412478.7063441.jpg,Caulolatilus princeps
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPad/rgb_1721412540.177392.jpg,Caulolatilus princeps
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPad/rgb_1721412626.239727.jpg,Bodianus pulcher
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPad/rgb_1721412692.133384.jpg,Caulolatilus princeps
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPad/rgb_1721414199.197884.jpg,Trichogaster chuna
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPad/rgb_1721414199.197884.jpg,Trichogaster chuna
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPad/rgb_1721412016.9978461.jpg,Rhomboplites aurorubens
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPad/rgb_1721412056.1736488.jpg,Rhomboplites aurorubens
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPad/rgb_1721412183.1469579.jpg,Paralabrax nebulifer
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPad/rgb_1721412294.200654.jpg,Caulolatilus princeps
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPad/rgb_1721412478.7063441.jpg,Caulolatilus princeps
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPad/rgb_1721412540.177392.jpg,Caulolatilus princeps
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPad/rgb_1721412626.239727.jpg,Bodianus pulcher
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPad/rgb_1721412692.133384.jpg,Caulolatilus princeps
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPad/rgb_1721414199.197884.jpg,Trichogaster chuna
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPad/rgb_1721414199.197884.jpg,Trichogaster chuna
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPad/rgb_1719503413.875185.jpg,Echeneis naucrates
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPad/rgb_1719505041.489867.jpg,Menticirrhus americanus
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPad/rgb_1719505109.92767.jpg,Scorpaena guttata
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPad/rgb_1719513936.875607.jpg,Paralabrax clathratus
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPhone/rgb_1721403820.1409302.jpg,Stenotomus chrysops
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPhone/rgb_1721408950.977337.jpg,Aetobatus narinari
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPhone/rgb_1721409127.351318.jpg,Caulolatilus princeps
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPhone/rgb_1721410347.436847.jpg,Caulolatilus princeps
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPhone/rgb_1721410408.233053.jpg,Sphyrna mokarran
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPhone/rgb_1721410611.289894.jpg,Stenotomus chrysops
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPhone/rgb_1721410840.12251.jpg,Caulolatilus princeps
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPhone/rgb_1721410871.12457.jpg,Caulolatilus princeps
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPhone/rgb_1721411059.644392.jpg,Albula vulpes
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPhone/rgb_1721411059.644392.jpg,Albula vulpes
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPad/rgb_1719503413.875185.jpg,Echeneis naucrates
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPad/rgb_1719505041.489867.jpg,Menticirrhus americanus
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPad/rgb_1719505109.92767.jpg,Scorpaena guttata
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPad/rgb_1719513936.875607.jpg,Paralabrax clathratus
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPhone/rgb_1721403820.1409302.jpg,Stenotomus chrysops
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPhone/rgb_1721408950.977337.jpg,Aetobatus narinari
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPhone/rgb_1721409127.351318.jpg,Chaetodipterus faber
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPhone/rgb_1721410347.436847.jpg,Platichthys stellatus
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPhone/rgb_1721410408.233053.jpg,Sphyrna mokarran
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPhone/rgb_1721410611.289894.jpg,Stenotomus chrysops
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPhone/rgb_1721410840.12251.jpg,Caulolatilus princeps
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPhone/rgb_1721410871.12457.jpg,Abramis brama
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPhone/rgb_1721411059.644392.jpg,Caulolatilus princeps
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPhone/rgb_1721411059.644392.jpg,Albula vulpes
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPad/rgb_1719503413.875185.jpg,Echeneis naucrates
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPad/rgb_1719505041.489867.jpg,Menticirrhus americanus
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPad/rgb_1719505109.92767.jpg,Scorpaena guttata
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPad/rgb_1719513936.875607.jpg,Paralabrax clathratus
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPhone/rgb_1721403820.1409302.jpg,Stenotomus chrysops
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPhone/rgb_1721408950.977337.jpg,Aetobatus narinari
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPhone/rgb_1721409127.351318.jpg,Chaetodipterus faber
/Users/tanishqsingh/Downloads/2024.06.27.FishSense.CCFRP/iPhone/rgb_1721410347.436847.jpg,Platichthys stellatus
